,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Fuel Consumption City MPG,Fuel Consumption Hwy MPG,Carbon emissions per mile(g)
6031,kia,optima,FULL-SIZE,2.4,4.0,AS6,Regular Gasoline,9.5,7.1,8.4,34,25.0,33.0,261.4705882352941
6032,kia,optima,MID-SIZE,2.0,4.0,AM6,Regular Gasoline,6.1,5.2,5.7,50,39.0,45.0,177.8
6033,kia,rio,COMPACT,1.6,4.0,AS6,Regular Gasoline,8.5,6.4,7.5,38,28.0,37.0,233.94736842105263
6034,kia,rio,COMPACT,1.6,4.0,M6,Regular Gasoline,8.3,6.4,7.5,38,28.0,37.0,233.94736842105263
6035,kia,sedona,MINIVAN,3.3,6.0,AS8,Regular Gasoline,12.7,10.0,11.5,25,19.0,24.0,355.6
6036,kia,sorento,SUV - SMALL,2.4,4.0,AS6,Regular Gasoline,10.7,8.2,9.6,29,22.0,29.0,306.55172413793105
6037,kia,sorento,SUV - SMALL,2.4,4.0,AS6,Regular Gasoline,11.2,9.0,10.2,28,21.0,26.0,317.5
6038,kia,sorento,SUV - SMALL,3.3,6.0,AS8,Regular Gasoline,12.5,9.7,11.2,25,19.0,24.0,355.6
6039,kia,soul,STATION WAGON - SMALL,1.6,4.0,AM7,Regular Gasoline,9.1,7.7,8.5,33,26.0,31.0,269.3939393939394
6040,kia,soul,STATION WAGON - SMALL,1.6,4.0,AS6,Regular Gasoline,9.0,7.6,8.4,34,26.0,31.0,261.4705882352941
6041,kia,soul,STATION WAGON - SMALL,2.0,4.0,AS6,Regular Gasoline,9.5,7.8,8.7,32,25.0,30.0,277.8125
6042,kia,sportage,SUV - SMALL,2.4,4.0,AS6,Regular Gasoline,10.3,7.8,9.2,31,23.0,30.0,286.7741935483871
6043,kia,sportage,SUV - SMALL,2.0,4.0,AS6,Regular Gasoline,11.9,10.2,11.1,25,20.0,23.0,355.6
6044,kia,sportage,SUV - SMALL,2.4,4.0,AS6,Regular Gasoline,11.3,9.5,10.5,27,21.0,25.0,329.25925925925924
6045,kia,stinger,MID-SIZE,2.0,4.0,AS8,Premium Gasoline,11.1,8.1,9.7,29,21.0,29.0,306.55172413793105
6046,kia,stinger,MID-SIZE,3.3,6.0,AS8,Premium Gasoline,13.6,9.6,11.8,24,17.0,25.0,370.41666666666663
6047,lamborghini,aventador,TWO-SEATER,6.5,12.0,AM7,Premium Gasoline,26.3,15.6,21.5,13,9.0,15.0,683.8461538461539
6048,lamborghini,aventador,TWO-SEATER,6.5,12.0,AM7,Premium Gasoline,26.6,15.8,21.7,13,9.0,15.0,683.8461538461539
6049,lamborghini,huracan,TWO-SEATER,5.2,10.0,AM7,Premium Gasoline,18.1,13.2,15.9,18,13.0,18.0,493.88888888888886
6050,lamborghini,huracan,TWO-SEATER,5.2,10.0,AM7,Premium Gasoline,17.9,13.0,15.7,18,13.0,18.0,493.88888888888886
6051,lamborghini,huracan,TWO-SEATER,5.2,10.0,AM7,Premium Gasoline,18.1,13.2,15.9,18,13.0,18.0,493.88888888888886
6052,lamborghini,huracan,TWO-SEATER,5.2,10.0,AM7,Premium Gasoline,17.9,13.0,15.7,18,13.0,18.0,493.88888888888886
6053,lamborghini,huracan,TWO-SEATER,5.2,10.0,AM7,Premium Gasoline,17.9,13.0,15.7,18,13.0,18.0,493.88888888888886
6054,lamborghini,huracan,TWO-SEATER,5.2,10.0,AM7,Premium Gasoline,17.9,13.0,15.7,18,13.0,18.0,493.88888888888886
6055,lamborghini,urus,SUV - STANDARD,4.0,8.0,AS8,Premium Gasoline,19.2,14.1,16.9,17,12.0,17.0,522.9411764705882
6056,land rover,discovery,SUV - STANDARD,3.0,6.0,AS8,Premium Gasoline,14.8,11.4,13.3,21,16.0,21.0,423.3333333333333
6057,land rover,discovery,SUV - STANDARD,3.0,6.0,AS8,Diesel,11.3,9.2,10.4,27,21.0,26.0,377.037037037037
6058,land rover,discovery,SUV - SMALL,2.0,4.0,AS9,Premium Gasoline,11.4,9.3,10.5,27,21.0,25.0,329.25925925925924
6059,land rover,range,SUV - STANDARD,3.0,6.0,AS8,Premium Gasoline,14.1,10.3,12.4,23,17.0,23.0,386.52173913043475
6060,land rover,range,SUV - STANDARD,3.0,6.0,AS8,Diesel,10.7,8.3,9.6,29,22.0,28.0,351.0344827586207
6061,land rover,range,SUV - STANDARD,5.0,8.0,AS8,Premium Gasoline,14.4,11.3,13.0,22,16.0,21.0,404.0909090909091
6062,land rover,range,SUV - STANDARD,5.0,8.0,AS8,Premium Gasoline,17.9,12.7,15.5,18,13.0,19.0,493.88888888888886
6063,land rover,range,SUV - STANDARD,3.0,6.0,AS8,Premium Gasoline,14.1,10.3,12.4,23,17.0,23.0,386.52173913043475
6064,land rover,range,SUV - STANDARD,3.0,6.0,AS8,Diesel,10.7,8.3,9.6,29,22.0,28.0,351.0344827586207
6065,land rover,range,SUV - STANDARD,5.0,8.0,AS8,Premium Gasoline,14.1,10.7,12.6,22,17.0,22.0,404.0909090909091
6066,land rover,range,SUV - SMALL,2.0,4.0,AS9,Premium Gasoline,10.9,8.0,9.6,29,22.0,29.0,306.55172413793105
6067,land rover,range,SUV - SMALL,2.0,4.0,AS9,Premium Gasoline,11.2,8.2,9.8,29,21.0,29.0,306.55172413793105
6068,land rover,range,SUV - SMALL,2.0,4.0,AS8,Diesel,9.2,7.8,8.5,33,26.0,30.0,308.4848484848485
6069,land rover,range,SUV - SMALL,2.0,4.0,AS8,Premium Gasoline,11.7,9.2,10.6,27,20.0,26.0,329.25925925925924
6070,land rover,range,SUV - SMALL,3.0,6.0,AS8,Premium Gasoline,13.0,10.0,11.6,24,18.0,24.0,370.41666666666663
6071,lexus,es,MID-SIZE,2.5,4.0,AV6,Regular Gasoline,5.5,5.2,5.3,53,43.0,45.0,167.73584905660377
6072,lexus,es,MID-SIZE,3.5,6.0,AS8,Regular Gasoline,10.6,7.2,9.1,31,22.0,33.0,286.7741935483871
6073,lexus,es,MID-SIZE,3.5,6.0,AS8,Regular Gasoline,10.9,7.5,9.4,30,22.0,31.0,296.3333333333333
6074,lexus,gs,MID-SIZE,3.5,6.0,AS6,Premium Gasoline,12.3,9.1,10.9,26,19.0,26.0,341.92307692307696
6075,lexus,gs,COMPACT,5.0,8.0,AS8,Premium Gasoline,14.9,9.7,12.5,23,16.0,24.0,386.52173913043475
6076,lexus,gx,SUV - STANDARD,4.6,8.0,AS6,Premium Gasoline,16.0,12.9,14.6,19,15.0,18.0,467.89473684210526
6077,lexus,is,COMPACT,2.0,4.0,AS8,Premium Gasoline,11.0,7.6,9.5,30,21.0,31.0,296.3333333333333
6078,lexus,is,COMPACT,3.5,6.0,AS6,Premium Gasoline,12.3,9.1,10.9,26,19.0,26.0,341.92307692307696
